,Rating,Artist,Album,Date,,,,,,,,
78,5.1,Squarepusher,Go Plastic,6/26/2001,,,,,,,,
79,7.8,Lift to Experience,The Texas-Jerusalem Crossroads,6/21/2001,,,,,,,,
80,6,Vue,The Death of a Girl EP,6/19/2001,,,,,,,,
81,5.9,Swell,Everybody Wants to Know,6/19/2001,,,,,,,,
82,7,Clem Snide,The Ghost of Fashion,6/30/2001,,,,,,,,
83,8.6,The Beta Band,Hot Shots II,6/30/2001,,,,,,,,
84,7.6,Robert Barry / Fred Anderson,Duets 2001,6/30/2001,,,,,,,,
85,8.6,John Zorn,Songs from the Hermetic Theatre,6/26/2001,,,,,,,,
86,7.8,Susumu Yokota,Grinning Cat,6/26/2001,,,,,,,,
87,3.1,Tricky,Blowback,7/2/2001,,,,,,,,
88,3.9,Animal Collective,Danse Manatee,7/1/2001,,,,,,,,
89,8,The Shins,"Oh, Inverted World",6/30/2001,,,,,,,,
90,8.7,Prefuse 73,Vocal Studies + Uprock Narratives,6/30/2001,,,,,,,,
91,7.9,Low and Dirty Three,In the Fishtank EP,6/30/2001,,,,,,,,
92,5,Songs,Ohia: Howler EP,7/10/2001,,,,,,,,
93,8.6,Built to Spill,Ancient Melodies of the Future,7/10/2001,,,,,,,,
94,6.8,Preston School of Industry,Goodbye to the Edge City EP,7/9/2001,,,,,,,,
95,9.1,M\xc3\xbam,Yesterday Was Dramatic - Today Is OK,7/7/2001,,,,,,,,
96,8,The Lucksmiths,Why That Doesn't Surprise Me,7/7/2001,,,,,,,,
97,7.7,Turin Brakes,The Optimist LP,7/17/2001,,,,,,,,
98,8.6,Radio Birdman,The Essential Radio Birdman (1974-1978),7/17/2001,,,,,,,,
99,7.1,I Am the World Trade Center,Out of the Loop,7/17/2001,,,,,,,,
100,3.1,American Steel,Jagged Thoughts,7/12/2001,,,,,,,,
101,4.5,Daevid Allen's University of Errors,E^2 x 10 = Tenure,7/12/2001,,,,,,,,
102,3.8,The Apples in Stereo,Let's Go! EP,7/31/2001,,,,,,,,
103,9.4,Fennesz,Endless Summer,7/31/2001,,,,,,,,
104,8.9,Super Furry Animals,Rings Around the World,7/23/2001,,,,,,,,
105,6.9,Cursive,Burst and Bloom EP,7/21/2001,,,,,,,,
106,7.6,M. Ward,End of Amnesia,7/17/2001,,,,,,,,
107,7.3,Chocolate Genius,Godmusic,8/7/2001,,,,,,,,
108,6.7,American Analog Set,Through the 90s: Singles and Unreleased,8/5/2001,,,,,,,,
109,8.1,Lush,Ciao!: The Best of Lush,7/31/2001,,,,,,,,
110,8.4,Fant\xc3\xb4mas,The Director's Cut,7/31/2001,,,,,,,,
111,7.8,The Faint,Danse Macabre,7/31/2001,,,,,,,,
112,9.5,Circulatory System,Circulatory System,8/28/2001,,,,,,,,
113,9,The White Stripes,White Blood Cells,8/23/2001,,,,,,,,
114,6.9,Self,Gizmodgery,8/21/2001,,,,,,,,
115,3.5,Jimmy Eat World,Bleed American,8/21/2001,,,,,,,,
116,4.4,American Heritage,Through the Age of Quarrel and into the Era of Putting Up with It,8/18/2001,,,,,,,,
117,0.4,Butthole Surfers,Weird Revolution,8/31/2001,,,,,,,,
118,7.2,Bj\xc3\xb6rk,Vespertine,8/31/2001,,,,,,,,
119,8,Airport 5,Tower in the Fountain of Sparks,8/30/2001,,,,,,,,
120,7.4,Stereolab,Sound-Dust,8/28/2001,,,,,,,,
121,5.3,Preston School of Industry,All This Sounds Gas,8/28/2001,,,,,,,,
122,8.5,Mercury Rev,All Is Dream,9/11/2001,,,,,,,,
123,9.2,The Microphones,"The Glow, Pt. 2",9/10/2001,,,,,,,,
124,8,American Analog Set,Know by Heart,9/9/2001,,,,,,,,
125,6,Quasi,The Sword of God,9/7/2001,,,,,,,,
126,6.7,His Name Is Alive,Someday My Blues Will Cover the Earth,8/31/2001,,,,,,,,
127,8.7,Thee Headcoats,Headcoats Down!,9/16/2001,,,,,,,,
128,7.3,Rebecca Gates,Ruby Series EP,9/16/2001,,,,,,,,
129,6.3,Ben Folds Five,Rockin' the Suburbs,9/16/2001,,,,,,,,
130,6.1,Idyll Swords,II,9/16/2001,,,,,,,,
131,8.8,Pinetop Seven,Lest We Forget,9/11/2001,,,,,,,,
132,3.8,Basement Jaxx,Rooty,9/18/2001,,,,,,,,
133,2.8,They Might Be Giants,Mink Car,9/17/2001,,,,,,,,
134,8.6,Schlammpeitziger,Collected Simplesongs of My Temporary Past,9/17/2001,,,,,,,,
135,7.3,Moth Wranglers,Never Mind the Context,9/17/2001,,,,,,,,
136,5.2,Bionaut,Lubricate Your Living-Room,9/17/2001,,,,,,,,
137,4.8,The Firebird Band,The Drive EP,9/19/2001,,,,,,,,
138,5.4,Brian Eno / DJ J. Peter Schwalm,Drawn from Life,9/19/2001,,,,,,,,
139,7.7,Trans Megetti,Fading Left to Completely On,9/18/2001,,,,,,,,
140,8.3,Sisterhood of Convoluted Thinkers,Ume Sour,9/18/2001,,,,,,,,
141,3.7,Coldcut,Re:volution EP,9/18/2001,,,,,,,,
142,9.6,Ween,God Ween Satan: The Oneness,9/20/2001,,,,,,,,
143,5.9,Rondelles,Shined Nickels and Loose Change,9/20/2001,,,,,,,,
144,9,Various Artists,"Tigerbeat6, Inc.",9/20/2001,,,,,,,,
145,6.6,Ivory Coast,Clouds,9/20/2001,,,,,,,,
146,7,Volta Do Mar,Volta Do Mar EP,9/19/2001,,,,,,,,
147,6.6,Atombombpocketknife,God Save the ABPK,9/24/2001,,,,,,,,
148,6.3,Uberzone,Faith in the Future,9/23/2001,,,,,,,,
149,7.8,Kingsbury Manx,Let You Down,9/23/2001,,,,,,,,
150,2,Fluke,Progressive History X,9/23/2001,,,,,,,,
151,7.2,Chitlin' Fooks,Chitlin' Fooks,9/23/2001,,,,,,,,
152,5,Ida,The Braille Night,9/25/2001,,,,,,,,
153,9,Faust,Faust/So Far,9/25/2001,,,,,,,,
154,8.6,Stars of the Lid,The Tired Sounds of...,9/24/2001,,,,,,,,
155,7.5,Smog,Rain on Lens,9/24/2001,,,,,,,,
156,6.8,eX-Girl,Back to the Mono Kero,9/24/2001,,,,,,,,
157,4.9,Lesser,Mensa Dance Squad,9/26/2001,,,,,,,,
158,6.7,Lambchop,Tools in the Dryer,9/26/2001,,,,,,,,
159,8.5,Graeme Downes,Hammers and Anvils,9/26/2001,,,,,,,,
160,7.3,Original Brothers and Sisters of Love,H.O.M.E.S.,9/25/2001,,,,,,,,
161,9.6,Iran,Iran,9/25/2001,,,,,,,,
162,7.2,Mr. Wright,Hello Is Anyone Out There,9/27/2001,,,,,,,,
163,7.8,Marumari,Supermogadon,9/27/2001,,,,,,,,
164,6.1,Kelly Hogan,Because It Feel Good,9/27/2001,,,,,,,,
165,5.7,Explosion Robinson,The Luxury Leader,9/27/2001,,,,,,,,
166,7,Scott Tuma,Hard Again,9/26/2001,,,,,,,,
167,7.6,Mus,Aida: Bliss Out v.17,10/1/2001,,,,,,,,
168,7.6,John Zorn,"Madness, Love and Mysticism",9/30/2001,,,,,,,,
169,7.7,Sparklehorse,It's a Wonderful Life,9/30/2001,,,,,,,,
170,4.7,Q-Burns Abstract Message,Invisible Airline,9/30/2001,,,,,,,,
171,7.6,Jetone,Ultramarin,9/30/2001,,,,,,,,
172,8.9,Acid Mothers Temple,The New Geocentric World of...,10/2/2001,,,,,,,,
173,2.1,Wolfie,Tall Dark Hill,10/1/2001,,,,,,,,
174,7.5,Daniel Johnston,Rejected Unknown,10/1/2001,,,,,,,,
175,7.9,Richie Hawtin,DE9: Closer to the Edit,10/1/2001,,,,,,,,
176,8.3,Jeff Buckley,Live a L'Olympia,10/1/2001,,,,,,,,
177,6,Neutral Milk Hotel,Everything Is EP,10/3/2001,,,,,,,,
178,6.9,Cruiser,Northern Electric,10/3/2001,,,,,,,,
179,6.3,Rival Schools,United by Fate,10/2/2001,,,,,,,,
180,7,Tara Jane O'Neil,In the Sun Lines,10/2/2001,,,,,,,,
181,7.9,Erase Errata,Other Animals,10/2/2001,,,,,,,,
182,8,Lumen,"The Man Felt an Iron Hand Grab Him by the Hair, at the Nape. Not One Hand, a Hundred Hands Seized Him, Each by the Hair, and Tore Him Head to Foot, the Way You Tear Up a Sheet of Paper, into Hundreds of Little Pieces",10/4/2001,,,,,,,,
183,7.5,IfiHadAHiFi,Ones and Zeroes,10/4/2001,,,,,,,,
184,7.8,Appliance,Imperial Metric,10/4/2001,,,,,,,,
185,6.2,Various Artists,Better Than the Beatles: A Tribute to the Shaggs,10/3/2001,,,,,,,,
186,8.1,Bogdan Raczynski,My Love I Love,10/3/2001,,,,,,,,
187,8.6,Rufus Wainwright,Poses,10/7/2001,,,,,,,,
188,6.5,Starship Beer,Nut Music: As Free as the Squirrels,10/7/2001,,,,,,,,
189,5,Kammerflimmer Kollektief,Hysteria,10/7/2001,,,,,,,,
190,8.4,Boredoms,"Rebore, Vol. 0: Vision Recreation",10/7/2001,,,,,,,,
191,7.8,Modest Mouse,Everywhere and His Nasty Parlour Tricks EP,10/4/2001,,,,,,,,
192,8.7,Edith Frost,Wonder Wonder,10/9/2001,,,,,,,,
193,7.8,Apes,The Fugue in the Fog,10/9/2001,,,,,,,,
194,8.2,"Kristian, Shalabi, St. Onge","Kristian, Shalabi, St. Onge",10/8/2001,,,,,,,,
195,8.7,Constantines,Constantines,10/8/2001,,,,,,,,
196,7,Blueline Medic,The Apology Wars,10/8/2001,,,,,,,,
197,6.8,Telefon Tel Aviv,Fahrenheit Fair Enough,10/10/2001,,,,,,,,
198,9.5,Miles Davis,"Live at the Fillmore East (March 7, 1970): It's About That Time",10/10/2001,,,,,,,,
199,7.3,Black Box Recorder,The Worst of...,10/10/2001,,,,,,,,
200,7.9,Superchunk,Here's to Shutting Up,10/9/2001,,,,,,,,
201,7.4,June Panic,The Silver Sound Sessions EP,10/9/2001,,,,,,,,
202,6.4,Vue,Find Your Home,10/11/2001,,,,,,,,
203,7,Three 4 Tens,Change Is on Its Way,10/11/2001,,,,,,,,
204,7.4,Sun City Girls,Carnival Folklore Resurrection 7: Libyan Dream,10/11/2001,,,,,,,,
205,9,Polysics,Hey! Bob! My Friend!,10/11/2001,,,,,,,,
206,6.2,David S. Ware Quartet,Corridors and Parallels,10/10/2001,,,,,,,,
207,9.1,The Strokes,Is This It,10/14/2001,,,,,,,,
208,6.1,Frankie Sparo,My Red Scare,10/14/2001,,,,,,,,
209,7.7,Simian,Chemistry Is What We Are,10/14/2001,,,,,,,,
210,6.6,The National,The National,10/14/2001,,,,,,,,
211,7.4,Robert Pollard and His Soft Rock Renegades,Choreographed Man of War,10/12/2001,,,,,,,,
212,5.9,The Album Leaf,One Day I'll Be on Time,10/16/2001,,,,,,,,
213,6.9,Loscil,Triple Point,10/15/2001,,,,,,,,
214,8,Landing,Oceanless,10/15/2001,,,,,,,,
215,6.5,Various Artists,"The Funky Precedent, Vol. 2",10/15/2001,,,,,,,,
216,10,John Coltrane,The Olatunji Concert: The Last Live Recording,10/15/2001,,,,,,,,
217,7.7,Pilot to Gunner,Games at High Speeds,10/17/2001,,,,,,,,
218,6,Oysterhead,The Grand Pecking Order,10/17/2001,,,,,,,,
219,8.4,Need New Body,Need New Body,10/16/2001,,,,,,,,
220,7,Metrovavan,Retrofitting,10/16/2001,,,,,,,,
221,6,Lupine Howl,The Carnivorous Lunar Activities of...,10/16/2001,,,,,,,,
222,6.7,Per Mission,A Ritual Loop,10/18/2001,,,,,,,,
223,7.2,Los Straitjackets,Sing along with Los Straitjackets,10/18/2001,,,,,,,,
224,7.7,Fridge,Happiness,10/18/2001,,,,,,,,
225,7.7,Gez Varley,Bayou Paradis,10/17/2001,,,,,,,,
226,7.4,Frankie Sparo,Arena Hostile EP,10/17/2001,,,,,,,,
227,7,Visitor Jim,Visitor Jim,10/21/2001,,,,,,,,
228,5.4,S.I. Futures,The Mission Statement,10/21/2001,,,,,,,,
229,8.5,Fugazi,The Argument,10/21/2001,,,,,,,,
230,8.4,The Court & Spark,Bless You,10/21/2001,,,,,,,,
231,5.8,Spain,I Believe,10/18/2001,,,,,,,,
232,8.6,The Dismemberment Plan,Change,10/23/2001,,,,,,,,
233,7,Timeout Drawer,A Difficult Future,10/22/2001,,,,,,,,
234,7,Owls,Owls,10/22/2001,,,,,,,,
235,7.4,Halifax Pier,Put Your Gloves On and Wave,10/22/2001,,,,,,,,
236,6.9,Centro-matic,Distance and Clime,10/22/2001,,,,,,,,
237,8.5,Heavenly,Heavenly vs. Satan,10/24/2001,,,,,,,,
238,8.5,John Cale,Sun Blindness Music,10/24/2001,,,,,,,,
239,7.7,Sufjan Stevens,Enjoy Your Rabbit,10/23/2001,,,,,,,,
240,4,Takagi Masakatsu,Pia,10/23/2001,,,,,,,,
241,6.8,Kid606,P.S. You Love Me,10/23/2001,,,,,,,,
242,5.6,Yoko Ono,Blueprint for a Sunrise,10/25/2001,,,,,,,,
243,7.9,Various Artists,Immediate Action,10/25/2001,,,,,,,,
244,5.5,Aphex Twin,Drukqs,10/25/2001,,,,,,,,
245,5.9,Utah!,Zoo Sounds and Destructovision EP,10/24/2001,,,,,,,,
246,5.2,Quasi,Early Recordings,10/24/2001,,,,,,,,
247,8.4,Moreno Veloso +2,Music Typewriter,10/28/2001,,,,,,,,
248,7,Gallygows,Give It to Her,10/28/2001,,,,,,,,
249,6.4,Elk City,The Sea is Fierce EP,10/28/2001,,,,,,,,
250,6.6,Beulah,The Coast is Never Clear,10/28/2001,,,,,,,,
251,8.3,Phthalocyanine,Zacks,10/25/2001,,,,,,,,
252,6.9,Bosco and Jorge,Bosco and Jorge,10/30/2001,,,,,,,,
253,5,Call and Response,Call and Response,10/30/2001,,,,,,,,
254,7.9,TransChamps,Double Exposure EP,10/29/2001,,,,,,,,
255,8.6,Mogwai,My Father My King EP,10/29/2001,,,,,,,,
256,7.3,Atmosphere,Lucy Ford: The Atmosphere EPs,10/29/2001,,,,,,,,
257,7.6,The Clean,Getaway,10/31/2001,,,,,,,,
258,6.6,Beachwood Sparks,Once We Were Trees,10/31/2001,,,,,,,,
259,7.6,Weights and Measures,"Tonight, the Lower Abdominals EP",10/30/2001,,,,,,,,
260,7.6,Les Savy Fav,Go Forth,10/30/2001,,,,,,,,
261,8,Jigmastas,Infectious,10/30/2001,,,,,,,,
262,7.7,The Silver Mt. Zion Memorial Orchestra & Tra-la-la Band,Born into Trouble as the Sparks Fly Upward,11/1/2001,,,,,,,,
263,8.7,M\xc3\xbam,Please Smile My Noise Bleed,11/1/2001,,,,,,,,
264,8,Brigitte Fontaine,Kekeland,11/1/2001,,,,,,,,
265,8.8,Tom Waits,Used Songs: 1973-1980,10/31/2001,,,,,,,,
266,7.1,Orange Can,Home Burns,10/31/2001,,,,,,,,
267,8,Western Automatic,It's 1995,11/4/2001,,,,,,,,
268,8.2,Phoenecia,Odd Job Discrimination EP,11/4/2001,,,,,,,,
269,7.1,Kammerflimmer Kollektief,Incommunicado,11/4/2001,,,,,,,,
270,8,Leonard Cohen,Ten New Songs,11/4/2001,,,,,,,,
271,2.7,Triangle,*,11/1/2001,,,,,,,,
272,6.8,Yesterdays New Quintet,Angles Without Edges,11/6/2001,,,,,,,,
273,6.8,Pram,Somniloquy EP,11/5/2001,,,,,,,,
274,7.8,Oneida,Anthem of the Moon,11/5/2001,,,,,,,,
275,8,LU,LU,11/5/2001,,,,,,,,
276,6.6,Le Tigre,Feminist Sweepstakes,11/5/2001,,,,,,,,
277,9.5,Miles Davis,The Complete In a Silent Way Sessions,11/7/2001,,,,,,,,
278,7.5,Lilac Time,Lilac6,11/6/2001,,,,,,,,
279,7.9,Richard Youngs / Makoto Kawabata,Makoto Kawabata and Richard Youngs,11/6/2001,,,,,,,,
280,8.7,Jay-Z,The Blueprint,11/6/2001,,,,,,,,
281,7.3,Vincent Gallo,When,11/6/2001,,,,,,,,
282,9.4,\xc2\xb5-Ziq,Tango n' Vectif,11/8/2001,,,,,,,,
283,5.7,Matt Marque,Get There,11/8/2001,,,,,,,,
284,8.4,Songs,Ohia: Mi Sei Apparso Come un Fantasma,11/7/2001,,,,,,,,
285,6.4,Reindeer Section,"Y'all Get Scared Now, Ya Hear!",11/7/2001,,,,,,,,
286,7.5,Tomas Jirku,Immaterial,11/7/2001,,,,,,,,
287,7.1,Mia Doi Todd,Zeroone,11/11/2001,,,,,,,,
288,8.2,The Microphones,Blood,11/11/2001,,,,,,,,
289,6.3,Boxstep,The Faces All Look On,11/11/2001,,,,,,,,
290,8.3,Idaho,Levitate,11/11/2001,,,,,,,,
291,8.5,Thalia Zedek,Been Here and Gone,11/8/2001,,,,,,,,
292,6.3,Circus Devils,Ringworm Interiors,11/13/2001,,,,,,,,
293,9,Set Fire to Flames,Sings Reign Rebuilder,11/12/2001,,,,,,,,
294,7.8,Low,"Paris '99: Anthony, Are You Around?",11/12/2001,,,,,,,,
295,5.8,Electric Company,62-56,11/12/2001,,,,,,,,
296,8.6,...And You Will Know Us by the Trail of Dead,Relative Ways EP,11/12/2001,,,,,,,,
297,7.9,Faust,BBC Sessions +,11/14/2001,,,,,,,,
298,7.1,Death Cab for Cutie,The Photo Album,11/14/2001,,,,,,,,
299,6.6,Zeni Geva,"10,000 Light Years",11/13/2001,,,,,,,,
300,7.2,Pillow,Three Henries,11/13/2001,,,,,,,,
301,8.8,Lali Puna,Scary World Theory,11/13/2001,,,,,,,,
302,7.6,Electric Birds,Strata Frames,11/15/2001,,,,,,,,
303,9.3,Dntel,Life Is Full of Possibilities,11/15/2001,,,,,,,,
304,2.9,Bobby Conn,The Golden Age,11/15/2001,,,,,,,,
305,7,Tomahawk,Tomahawk,11/14/2001,,,,,,,,
306,3.5,Saturnine,Pleasure of Ruins,11/14/2001,,,,,,,,
307,7.5,Stilluppsteypa,Stories Part Five,11/18/2001,,,,,,,,
308,7.6,New Order,Get Ready,11/18/2001,,,,,,,,
309,8.2,Mr. Len,Pity the Fool: Experiments in Therapy Behind the Mask of Music While Handing Out Dummy Smacks,11/18/2001,,,,,,,,
310,2.8,Arling and Cameron,We Are A&C,11/18/2001,,,,,,,,
311,6,Now It's Overhead,Now It's Overhead,11/15/2001,,,,,,,,
312,5,Mitchell Akiyama,Hope That Lines Don't Cross,11/25/2001,,,,,,,,
313,7.8,Piano Magic,Seasonally Affective: 1996-2000,11/19/2001,,,,,,,,
314,5.7,Jeff London,Col. Summers Park,11/19/2001,,,,,,,,
315,6.2,Autour de Lucie,Faux Mouvement,11/19/2001,,,,,,,,
316,8.4,Spiritualized,Let It Come Down,11/19/2001,,,,,,,,
317,5.4,Kill Creek,Colors of Home,11/26/2001,,,,,,,,
318,8.4,Gorky's Zygotic Mynci,How I Long to Feel That Summer in My Heart,11/26/2001,,,,,,,,
319,8,Ruins,Mandala 2000/Live at Kichijoji Mandala II,11/25/2001,,,,,,,,
320,9.4,The Velvet Underground,"Bootleg Series, Vol. 1: The Quine Tapes",11/25/2001,,,,,,,,
321,7.4,Alva Noto,Transform,11/25/2001,,,,,,,,
322,7,Half-Handed Cloud,Learning About Your Scale,11/27/2001,,,,,,,,
323,6.4,Fugu,Fugu 1,11/27/2001,,,,,,,,
324,8.2,Aereogramme,A Story in White,11/27/2001,,,,,,,,
325,8.1,Saul Williams,Amethyst Rock Star,11/26/2001,,,,,,,,
326,7.9,Spokane,The Proud Graduates,11/26/2001,,,,,,,,
327,7.9,Fred Lonberg-Holm / Jim O'Rourke / Weasel Walter,Tribute to Masayuki Takayanagi,11/28/2001,,,,,,,,
328,6.6,Sloan,Pretty Together,11/28/2001,,,,,,,,
329,8.5,Silver Jews,Bright Flight,11/28/2001,,,,,,,,
330,4.2,Coquettish,Total Pops Madness EP,11/28/2001,,,,,,,,
331,8,Jim O'Rourke,Insignificance,11/27/2001,,,,,,,,
332,8.4,Love as Laughter,Sea to Shining Sea,12/2/2001,,,,,,,,
333,8.5,20 Minute Loop,Decline of Day,11/29/2001,,,,,,,,
334,2.5,Iggy Pop,Beat 'Em Up,11/29/2001,,,,,,,,
335,8.6,Papa M,"Whatever, Mortal",11/29/2001,,,,,,,,
336,8,Friends of Dean Martinez,In the Wire EP,11/29/2001,,,,,,,,
337,8,Empire State,Eternal Combustion,12/3/2001,,,,,,,,
338,8,Brian Allen and Jacob Koller,Brain Killer,12/3/2001,,,,,,,,
339,6,Volta Do Mar,At the Speed of Light of Day,12/2/2001,,,,,,,,
340,7.2,Stratford 4,The Revolt Against Tired Noises,12/2/2001,,,,,,,,
341,5.4,Pinback,Blue Screen Life,12/2/2001,,,,,,,,
342,7,Green Velvet / Pajo,Whatever,12/4/2001,,,,,,,,
343,8.4,M. Gira / D. Matz,What We Did,12/4/2001,,,,,,,,
344,8.5,The Handsome Family,Twilight,12/4/2001,,,,,,,,
345,6.7,Radioinactive,Pyramidi,12/3/2001,,,,,,,,
346,7.7,Jay Farrar,Sebastapol,12/3/2001,,,,,,,,
347,5.6,Hope Sandoval & the Warm Inventions,Bavarian Fruit Bread,12/5/2001,,,,,,,,
348,8,Julie Doiron,Desormais,12/5/2001,,,,,,,,
349,3.8,The Damned,Grave Disorder,12/5/2001,,,,,,,,
350,7.5,Brando,The Headless Horseman Is a Preacher,12/5/2001,,,,,,,,
351,7.7,The Prima Donnas,"Drugs, Sex and Discotheques",12/4/2001,,,,,,,,
352,1.2,Land of the El Caminos,Subourbon,12/9/2001,,,,,,,,
353,8.4,DJ Food,"Solid Steel Presents: Now, Listen!",12/9/2001,,,,,,,,
354,6,Check Engine,Check Engine,12/6/2001,,,,,,,,
355,9.3,Olivia Block,Mobius Fuse,12/6/2001,,,,,,,,
356,7.5,Blectum from Blechdom,Haus de Snaus,12/6/2001,,,,,,,,
357,8.2,Rotoscope,Great Curves,12/10/2001,,,,,,,,
358,6.3,Richard Devine,Aleamapper,12/10/2001,,,,,,,,
359,3.5,Boylion,"Up, Up, Down, Down, Left, Right, Left, Right, B, A, Select, Start",12/10/2001,,,,,,,,
